"1427","Tree Hut","moroccan rose","Body Mist","Exact bottle/product image + direct image URL","https://www.treehutshea.com/products/moroccan-rose-fragrance-mist","FACTORY_REBUILD_FROM_CANONICAL_TRUTH",""
"1428","Tree Hut","Moroccan Rose","Body Butter","Exact bottle/product image + direct image URL","https://www.treehutshea.com/products/moroccan-rose-whipped-body-butter","FACTORY_REBUILD_FROM_CANONICAL_TRUTH",""
"1429","Tree Hut","Moroccan Rose Whipped Shave Butter","Fragrance","Exact bottle/product image + direct image URL","https://www.treehutshea.com/products/moroccan-rose-whipped-shave-butter","FACTORY_REBUILD_FROM_CANONICAL_TRUTH",""
"1430","Tree Hut","ocean glow","Body Butter","Exact bottle/product image + direct image URL","https://www.treehutshea.com/products/ocean-glow-whipped-body-butter","FACTORY_REBUILD_FROM_CANONICAL_TRUTH",""
"1431","Tree Hut","Ocean Glow","Body Oil","Exact bottle/product image + direct image URL","https://www.treehutshea.com/products/ocean-glow-hydrating-body-oil","FACTORY_REBUILD_FROM_CANONICAL_TRUTH",""
"1432","Tree Hut","Ocean glow mist","Body Mist","Exact bottle/product image + direct image URL","https://www.treehutshea.com/products/ocean-glow-hydrating-mist","FACTORY_REBUILD_FROM_CANONICAL_TRUTH",""
"1433","Tree Hut","Palm Grove","Body Oil","Exact bottle/product image + direct image URL","https://www.treehutshea.com/products/palm-grove-hydraglow-body-serum","FACTORY_REBUILD_FROM_CANONICAL_TRUTH",""
"1434","Tree Hut","Passionfruit Sol","Body Mist","Exact bottle/product image + direct image URL","https://www.treehutshea.com/products/passionfruit-sol-fragrance-mist","FACTORY_REBUILD_FROM_CANONICAL_TRUTH",""
"1435","Tree Hut","Passionfruit Sol","Body Butter","Exact bottle/product image + direct image URL","https://www.treehutshea.com/products/passionfruit-sol-whipped-shea-body-butter","FACTORY_REBUILD_FROM_CANONICAL_TRUTH",""
"1436","Tree Hut","Pineapple","Body Butter","Exact bottle/product image + direct image URL","https://www.treehutshea.com/products/pineapple-whipped-butter","FACTORY_REBUILD_FROM_CANONICAL_TRUTH",""
"1437","Tree Hut","Pink Champagne","Body Oil","Exact bottle/product image + direct image URL","https://www.treehutshea.com/products/pink-champagne-hydraglow-body-serum","FACTORY_REBUILD_FROM_CANONICAL_TRUTH",""
"1438","Tree Hut","Pink Champagne","Lotion","Exact bottle/product image + direct image URL","https://www.treehutshea.com/products/pink-champagne-hydraglow-body-lotion","FACTORY_REBUILD_FROM_CANONICAL_TRUTH",""
"1439","Tree Hut","Pink Champagne Daily Moisturizing Scrub","Fragrance","Exact bottle/product image + direct image URL","https://www.treehutshea.com/products/pink-champagne-daily-moisturizing-scrub","FACTORY_REBUILD_FROM_CANONICAL_TRUTH",""
"1440","Tree Hut","pink hibiscus","Body Mist","Exact bottle/product image + direct image URL","https://www.treehutshea.com/products/pink-hibiscus-fragrance-mist","FACTORY_REBUILD_FROM_CANONICAL_TRUTH",""
"1441","Tree Hut","Preppy Peach Shea Sugar Scrub","Fragrance","Exact bottle/product image + direct image URL","https://www.treehutshea.com/products/preppy-peach-shea-sugar-scrub","FACTORY_REBUILD_FROM_CANONICAL_TRUTH",""
"1442","Tree Hut","Pumpkin Roll Shea Sugar Scrub","Fragrance","Exact bottle/product image + direct image URL","https://www.treehutshea.com/products/pumpkin-roll-shea-sugar-scrub","FACTORY_REBUILD_FROM_CANONICAL_TRUTH",""
"1443","Tree Hut","Raspberry Fizz","Lotion","Exact bottle/product image + direct image URL","https://www.treehutshea.com/products/raspberry-fizz-hydraglow-body-lotion","FACTORY_REBUILD_FROM_CANONICAL_TRUTH",""
"1444","Tree Hut","Santal Haze","Body Oil","Exact bottle/product image + direct image URL","https://www.treehutshea.com/products/santal-haze-hydraglow-body-serum","FACTORY_REBUILD_FROM_CANONICAL_TRUTH",""
